Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,12 to 13 years,British pounds sterling (£),JavaScript; Objective-C; PHP; SQL,C#; Python,26250
,18 to 19 years,Swiss francs,Java; SQL; Swift,Java; JavaScript; SQL,1.00E+05
,13 to 14 years,NA,NA,NA,NA
,2 to 3 years,NA,JavaScript; PHP; Smalltalk,JavaScript; Python; Ruby,NA
,20 or more years,U.S. dollars ($),Java; JavaScript; TypeScript,Java; JavaScript; TypeScript,1.40E+05
,10 to 11 years,Euros (€),C#; JavaScript; PHP; SQL; VBA,C#; JavaScript; PHP; SQL; TypeScript,NA
,2 to 3 years,Indian rupees (?),JavaScript; PHP; Python; SQL,PHP; Python,7341.065923
,14 to 15 years,NA,C; C++; C#; Haskell; Java; JavaScript; Perl; PHP; Python; SQL,C; C++; C#; Haskell; Java; Perl; PHP; Python; SQL,NA
,14 to 15 years,Canadian dollars (C$),C; C++; Clojure; JavaScript; Python; Scala; SQL,Clojure; Haskell; Julia; Python; Scala; SQL,71969.69697
,16 to 17 years,U.S. dollars ($),C#; SQL; VB.NET,Elixir; Erlang; Python; R,7.50E+04
,1 to 2 years,NA,JavaScript; SQL,Hack; Haskell; JavaScript; SQL; TypeScript,NA
,9 to 10 years,Swedish kroner (SEK),Matlab,C; C++; C#; Java; Matlab,3280.542986
,Less than a year,U.S. dollars ($),NA,NA,NA
,19 to 20 years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; Objective-C; Python; R; SQL; TypeScript,NA
,20 or more years,British pounds sterling (£),C#; Java; JavaScript; SQL; TypeScript,C#; JavaScript; TypeScript,NA
,9 to 10 years,Canadian dollars (C$),Assembly; C; C++; Java,C; C++; Haskell; Rust,NA
,6 to 7 years,NA,C#; Java; JavaScript; PHP; Python; SQL,Assembly; C; C++; C#; CoffeeScript; Java; PHP; Python; R; Ruby; Scala; SQL,NA
,12 to 13 years,U.S. dollars ($),C#; Java; JavaScript; Objective-C; Swift; VB.NET,C#; Java; JavaScript,1.20E+04
,20 or more years,NA,C#; Java; JavaScript; SQL,C#; Java; JavaScript,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL; VB.NET,C; C++; C#; Common Lisp; Java; JavaScript; R; SQL; TypeScript,9.50E+04
,17 to 18 years,NA,C; C#; Java; JavaScript; PHP; SQL; TypeScript,C#; CoffeeScript; Java; JavaScript; Python; SQL; TypeScript,NA
,8 to 9 years,Euros (€),JavaScript; PHP; Python; Ruby,PHP,22193.54839
,20 or more years,Swedish kroner (SEK),Assembly; C; C++; C#; Python; SQL,Assembly; C++; JavaScript; Python; R; SQL,79185.52036
,Less than a year,U.S. dollars ($),NA,NA,NA
,5 to 6 years,U.S. dollars ($),Objective-C,Swift,NA
,20 or more years,NA,C#; Python; R; SQL; Swift,C#; Python; R; SQL; Swift,NA
,9 to 10 years,NA,NA,NA,NA
,Less than a year,British pounds sterling (£),NA,NA,2.50E+04
,1 to 2 years,U.S. dollars ($),C#; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,C++; C#; JavaScript; PHP; Python; TypeScript,650
,9 to 10 years,NA,Java; JavaScript,JavaScript; Swift,NA
,4 to 5 years,U.S. dollars ($),Java; JavaScript; SQL,Go; Java; JavaScript; Python,1.05E+05
,14 to 15 years,NA,Go; JavaScript; PHP; SQL,Go; JavaScript; PHP; Ruby,NA
,2 to 3 years,NA,Java; Python; R; Scala; SQL,JavaScript; Python; Scala; TypeScript,NA
,9 to 10 years,NA,Ruby; SQL; VBA,JavaScript; Python,NA
,9 to 10 years,Euros (€),JavaScript; Python; VBA,Python,36559.13978
,13 to 14 years,U.S. dollars ($),C#; JavaScript,C++; Java,NA
,20 or more years,NA,C#; SQL; VB.NET,C#; SQL; VB.NET,NA
,10 to 11 years,NA,Objective-C,Objective-C; Ruby; Swift,NA
,20 or more years,NA,NA,NA,NA
,3 to 4 years,NA,C#; JavaScript; TypeScript,C#; JavaScript; TypeScript,NA
,20 or more years,U.S. dollars ($),Java; JavaScript; PHP,JavaScript; Python; TypeScript,NA
,15 to 16 years,Canadian dollars (C$),C; C++; Java; SQL,NA,NA
,12 to 13 years,U.S. dollars ($),C#; JavaScript; Objective-C; Python; Swift,C#; JavaScript; Objective-C; Python; Swift,57317
,9 to 10 years,U.S. dollars ($),JavaScript; Smalltalk; TypeScript,JavaScript; Python; Ruby,5.30E+04
,17 to 18 years,NA,Python,NA,NA
,2 to 3 years,Canadian dollars (C$),C; C++; Java; Python; Swift; VB.NET,C++; JavaScript; Python; SQL; Swift,NA
,5 to 6 years,British pounds sterling (£),Java; JavaScript; Python; SQL,Java; Python; SQL,NA
,5 to 6 years,Canadian dollars (C$),C; Go; JavaScript; Python; TypeScript,Assembly; C,39393.93939
,15 to 16 years,U.S. dollars ($),JavaScript; Python; Scala; SQL,Erlang; JavaScript; Python,92500
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,U.S. dollars ($),C#; Java; JavaScript; PHP; SQL,Ruby,NA
,20 or more years,NA,C#; JavaScript; SQL,C#; JavaScript,NA
,20 or more years,NA,C++; Java; Ruby,C++; Ruby; Swift,NA
,4 to 5 years,U.S. dollars ($),Java; Scala; SQL,Scala; SQL,NA
,3 to 4 years,Bitcoin (btc),NA,NA,12727.27273
,5 to 6 years,Canadian dollars (C$),C#; JavaScript,C#; JavaScript; TypeScript,26515.15152
,Less than a year,NA,C++; Java; JavaScript; PHP; SQL,C++; Java; JavaScript; Scala; SQL,NA
,20 or more years,U.S. dollars ($),NA,NA,NA
,17 to 18 years,U.S. dollars ($),C#; JavaScript,C#; JavaScript,NA
,9 to 10 years,U.S. dollars ($),Go; JavaScript; SQL; Swift,Clojure; Elixir; Go; JavaScript; SQL; Swift,5.00E+04
,18 to 19 years,Canadian dollars (C$),JavaScript,JavaScript; TypeScript,53030.30303
,8 to 9 years,NA,C++; Java; Objective-C,C++; Java; Matlab; Python; R,NA
,18 to 19 years,NA,C; Java; Python,C; Python,NA
,5 to 6 years,NA,Assembly; C#; SQL,Assembly; C#; Java; JavaScript; PHP; SQL,NA
,4 to 5 years,NA,JavaScript; PHP; SQL,C; C++; Java; JavaScript; Julia; Perl; PHP; Python; R; SQL; VB.NET; Visual Basic 6,4052.443385
,7 to 8 years,U.S. dollars ($),Java; JavaScript; Perl; SQL,Python,9.90E+04
,20 or more years,NA,Haskell; JavaScript; Python; SQL,Go; Haskell; Python; Swift,NA
,2 to 3 years,NA,C#; Java; SQL,JavaScript; Python; R; Scala,NA
,11 to 12 years,NA,C; C++; C#; Java; JavaScript; PHP; VB.NET,Java; JavaScript; Perl; PHP; Python; Ruby; Swift,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,NA,Java; JavaScript; Python; Ruby; SQL; Swift,Erlang; Java; JavaScript; Python; Ruby; Scala; Swift,NA
,11 to 12 years,NA,C; C++; C#,C; C++; C#,NA
,15 to 16 years,Canadian dollars (C$),C; C++; C#; Matlab; Objective-C; VB.NET; VBA; Visual Basic 6,NA,NA
,15 to 16 years,NA,C#; Java; JavaScript; TypeScript,F#; Haskell; Scala,NA
,20 or more years,U.S. dollars ($),C; Python; SQL,Go; SQL,1.70E+05
,5 to 6 years,U.S. dollars ($),C#; JavaScript; PHP; SQL,C#; JavaScript; SQL,6.30E+04
,20 or more years,NA,Java; JavaScript; PHP; Python; R; SQL; VBA,Python; R,NA
,3 to 4 years,Euros (€),JavaScript; PHP; Python; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,Java; Rust; Scala,48387.09677
,5 to 6 years,NA,C#; Groovy; JavaScript; PHP; SQL,C++; Java; JavaScript; Python; SQL,NA
,5 to 6 years,Euros (€),C#; SQL,C#,28387.09677
,16 to 17 years,U.S. dollars ($),Java,C#,1.50E+05
,6 to 7 years,NA,NA,NA,NA
,10 to 11 years,NA,Objective-C; Swift,Objective-C; Swift,NA
,6 to 7 years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL; TypeScript,NA
,6 to 7 years,NA,Java; JavaScript; Matlab; SQL,Java; JavaScript; R,NA
,7 to 8 years,U.S. dollars ($),C++; Java; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,NA,NA
,20 or more years,Euros (€),C; C++; Java; JavaScript; PHP,C++; Java,NA
,2 to 3 years,NA,CoffeeScript; Go; JavaScript; PHP; Ruby,Elixir; Go; Ruby,NA
,3 to 4 years,NA,NA,NA,NA
,3 to 4 years,British pounds sterling (£),Ruby,Elixir; JavaScript; Swift,52500
,18 to 19 years,NA,C; Java; Swift,Swift,NA
,20 or more years,NA,C#; JavaScript; Objective-C; SQL; VB.NET,SQL; Swift; TypeScript,NA
,20 or more years,NA,Java; JavaScript; SQL,Java; JavaScript; Python,NA
,4 to 5 years,British pounds sterling (£),Go; Groovy; Java; JavaScript; Objective-C; Python; SQL,C#; Elixir; Haskell; Scala,42500
,Less than a year,NA,Python; VBA,Python; R; Swift,NA
,9 to 10 years,NA,Common Lisp; Java; SQL,Assembly; C,NA
,20 or more years,NA,SQL; VBA,C++; JavaScript; SQL,NA
,3 to 4 years,NA,Java; JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL,NA
,2 to 3 years,NA,C; C++; C#; PHP; Python; SQL,C; Python; SQL,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,NA,C++; C#,C++,NA
,5 to 6 years,British pounds sterling (£),NA,NA,NA
,5 to 6 years,NA,Assembly; C; C++; C#; JavaScript; PHP; Python; SQL,Erlang; Java; PHP; Python; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,7 to 8 years,NA,Java; JavaScript; Objective-C; Perl; PHP,JavaScript; Perl; PHP,NA
,3 to 4 years,NA,SQL; VB.NET; VBA; Visual Basic 6,Java; JavaScript,NA
,9 to 10 years,NA,Java; JavaScript; Perl; SQL,NA,NA
,6 to 7 years,Euros (€),Java; JavaScript,Java; JavaScript,37634.4086
,20 or more years,NA,JavaScript; PHP; SQL; TypeScript,Clojure; Elixir; Erlang; JavaScript; Ruby; SQL,NA
,12 to 13 years,Euros (€),C#; Java; JavaScript; Objective-C; SQL; VB.NET; Visual Basic 6,NA,37419.35484
,15 to 16 years,Euros (€),NA,NA,NA
,9 to 10 years,NA,C; Go; Java; JavaScript; Lua; Objective-C; PHP; Python; SQL; Swift,C; C++; C#; Erlang; Go; Lua; R; Rust; SQL; Swift,53827.7512
,11 to 12 years,Euros (€),NA,NA,NA
,2 to 3 years,Indian rupees (?),C; C++; R; SQL,C; C++; Java; JavaScript,NA
,6 to 7 years,U.S. dollars ($),NA,NA,NA
,20 or more years,NA,C#; PHP; Python,C#; PHP,NA
,8 to 9 years,NA,JavaScript; Python,NA,NA
,6 to 7 years,NA,Java; JavaScript; Python; Swift,JavaScript; Python,NA
,8 to 9 years,Euros (€),JavaScript; Python; TypeScript,JavaScript; Python; SQL; TypeScript,43010.75269
,15 to 16 years,NA,C#; CoffeeScript; Clojure; Go; Groovy; Java; JavaScript; Objective-C; SQL,Clojure; Go; Java; JavaScript; Objective-C; Rust,NA
,20 or more years,Euros (€),Assembly; C; C++,C; C++,81720.43011
,15 to 16 years,U.S. dollars ($),C#; F#; Haskell; Java; JavaScript; Python; R; Scala; VB.NET,C#; F#; JavaScript; Python; SQL; TypeScript,7.40E+04
,5 to 6 years,NA,NA,NA,NA
,10 to 11 years,British pounds sterling (£),JavaScript,C#; JavaScript; Objective-C; PHP,3.00E+04
,5 to 6 years,NA,Assembly; C; C++; Java; Python; SQL,NA,NA
,20 or more years,NA,JavaScript; Perl; PHP; SQL,Haskell; JavaScript; Python,NA
,4 to 5 years,NA,C#; JavaScript; PHP; SQL,C++; C#; Java; PHP; Python; SQL,NA
,20 or more years,British pounds sterling (£),C#; JavaScript; SQL,NA,NA
,9 to 10 years,NA,C#; JavaScript; TypeScript,C#; Go; JavaScript; TypeScript,NA
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,Euros (€),C; Java,NA,NA
,4 to 5 years,U.S. dollars ($),Java; PHP,Java; PHP; Python,NA
,3 to 4 years,NA,JavaScript,CoffeeScript; PHP; Ruby; SQL,NA
,6 to 7 years,Euros (€),Java; JavaScript; Scala,Go; Java; JavaScript; Scala,NA
,5 to 6 years,Euros (€),C++; C#; Java; JavaScript; Lua; PHP; SQL,Assembly; C; Python; Scala; Swift,NA
,15 to 16 years,U.S. dollars ($),C#; Java; JavaScript; Python; SQL,Groovy; Java; JavaScript; Python; SQL; Swift,8.50E+04
,2 to 3 years,Euros (€),C#; Java; JavaScript; PHP; Python; SQL,C#; Java; JavaScript; PHP; Python; Ruby; SQL,NA
,11 to 12 years,U.S. dollars ($),Java; SQL,C; C++; C#; Go; Java; JavaScript; Python; R; Scala; TypeScript,8.20E+04
,8 to 9 years,NA,JavaScript,Java; JavaScript,NA
,16 to 17 years,Canadian dollars (C$),Java; JavaScript; SQL; TypeScript,NA,NA
,9 to 10 years,Indian rupees (?),C; C++; Common Lisp; Java; Matlab; PHP; Python; SQL,C; C++; Java; Matlab; Python; SQL,NA
,4 to 5 years,NA,JavaScript; Python; Ruby,Python; R; Ruby,NA
,4 to 5 years,NA,Assembly; C; C++; Java; JavaScript; PHP; Python; SQL; Swift,C#; Elixir; R,NA
,9 to 10 years,NA,JavaScript; PHP; Python; SQL,Go; JavaScript; Python; SQL,NA
,15 to 16 years,NA,Java; JavaScript; Python; TypeScript,Go; Python; Rust; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,7 to 8 years,NA,C++; C#; JavaScript,Lua,NA
,6 to 7 years,U.S. dollars ($),Java; JavaScript; Python,C#; CoffeeScript; Java; JavaScript; Python,6.00E+04
,13 to 14 years,NA,C#; Java; JavaScript; Objective-C; PHP; SQL; VB.NET; VBA,C#; Java; JavaScript; Objective-C; PHP; SQL,NA
,8 to 9 years,NA,Go; JavaScript; Python; TypeScript,C; Go; Haskell; TypeScript,NA
,17 to 18 years,U.S. dollars ($),C; C++; Java; JavaScript; Python,Assembly; C; C++; Elixir; Erlang; Go; JavaScript; Rust; Scala,1.45E+05
,16 to 17 years,U.S. dollars ($),C#; JavaScript; SQL,NA,NA
,5 to 6 years,NA,C; C++; Java; Matlab; Python,Assembly; C; Python,NA
,17 to 18 years,NA,Java,C++; Go; Rust,NA
,14 to 15 years,NA,C#; Python,C++; C#; Objective-C; Python; Swift,NA
,7 to 8 years,Euros (€),C; C++; C#; Java; JavaScript; SQL,C#; Dart; Java,NA
,5 to 6 years,NA,Java; Objective-C,Clojure; Elixir; JavaScript; Python; Ruby; Swift,NA
,Less than a year,NA,NA,NA,NA
,5 to 6 years,U.S. dollars ($),C; C++; C#; Haskell; Java; Python; SQL; VB.NET,NA,NA
,20 or more years,NA,C++; C#; PHP; SQL; VB.NET; VBA,PHP; SQL; VB.NET; VBA,NA
,9 to 10 years,British pounds sterling (£),Java; JavaScript; SQL,Java; JavaScript; Scala; TypeScript,6.00E+04
,9 to 10 years,NA,NA,NA,NA
,12 to 13 years,U.S. dollars ($),C#; Java; JavaScript,Clojure; Swift,9.70E+04
,20 or more years,British pounds sterling (£),C#; SQL,C++; F#; Python; Ruby; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,19 to 20 years,U.S. dollars ($),Java; Perl,Java; Rust,NA
,4 to 5 years,Euros (€),Java; JavaScript; PHP; SQL,Hack; JavaScript; PHP; SQL; TypeScript,NA
,7 to 8 years,Mexican pesos (MXN$),Java; JavaScript; SQL; TypeScript,CoffeeScript; Elixir; Erlang; Go; Groovy; JavaScript; Python; Scala; TypeScript,1626.794258
,20 or more years,Canadian dollars (C$),Python,C++; Python,69696.9697
,4 to 5 years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL,NA
,4 to 5 years,NA,Java; JavaScript; Python; SQL,C; C#; Lua; Perl,NA
,20 or more years,U.S. dollars ($),C; Python,C; Go; Java; Python; Scala,1.38E+05
,15 to 16 years,British pounds sterling (£),Python; SQL,Java; JavaScript; Python; SQL; Swift,71250
,4 to 5 years,NA,Java; Ruby,Java; Ruby,NA
,6 to 7 years,Bitcoin (btc),NA,NA,NA
,4 to 5 years,U.S. dollars ($),Java; JavaScript; TypeScript,C++; Java; JavaScript; TypeScript,NA
,5 to 6 years,NA,C#; Java; JavaScript; Scala; SQL,Java,NA
,1 to 2 years,U.S. dollars ($),Java; Matlab; Python; SQL; Visual Basic 6,C++; JavaScript; Python,NA
,11 to 12 years,NA,NA,NA,NA
,12 to 13 years,NA,C,Java; Matlab; Python; Ruby,NA
,10 to 11 years,Australian dollars (A$),C#; JavaScript; PHP; SQL,C#; F#; Go; JavaScript; Objective-C; Python; R; SQL; Swift; TypeScript,NA
,12 to 13 years,U.S. dollars ($),JavaScript; PHP; Python; SQL,Go; PHP; Python; SQL,1.01E+05
,10 to 11 years,NA,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; SQL,C; C++; C#; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; Swift,NA
,2 to 3 years,Indian rupees (?),PHP,PHP,NA
,14 to 15 years,U.S. dollars ($),C; Java; Perl; Python,C++; Java; Python,92900
,1 to 2 years,NA,C#; SQL,C++; C#; Elixir; Go; Haskell; Python; SQL; Swift,NA
,1 to 2 years,NA,PHP,PHP,NA
,Less than a year,U.S. dollars ($),Python,Python,NA
,15 to 16 years,NA,JavaScript; Objective-C; PHP; SQL; Swift; VB.NET,NA,NA
,10 to 11 years,NA,Groovy; Java; JavaScript; Scala,Groovy; Java; JavaScript; Scala,NA
,12 to 13 years,NA,Java; JavaScript; Python; Scala,Clojure; Erlang; Go; Haskell; Java; JavaScript; Python; R; Scala,NA
,20 or more years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,14 to 15 years,NA,C; C++; Python,C++; Python,NA
,20 or more years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL,NA
,15 to 16 years,British pounds sterling (£),NA,NA,93750
,16 to 17 years,Euros (€),C++; Python,Python,60215.05376
,14 to 15 years,NA,PHP; SQL,Python,NA
,1 to 2 years,NA,Java; JavaScript,C#; Java; JavaScript,NA
,14 to 15 years,British pounds sterling (£),NA,NA,NA
,10 to 11 years,NA,Java; JavaScript; Perl; PHP; Python; SQL,Assembly; C; C++; JavaScript; PHP; Python; Ruby; SQL,NA
,13 to 14 years,NA,NA,NA,NA
,10 to 11 years,Indian rupees (?),Go; Java; JavaScript; PHP; SQL,Clojure; JavaScript; Python; Scala,11745.70548
,10 to 11 years,Euros (€),CoffeeScript; Java; JavaScript; Objective-C; SQL,Go; Java; JavaScript; Swift; TypeScript,34408.60215
,20 or more years,NA,C; C++; JavaScript; Perl; Python; SQL; VBA,Assembly; C; C++; CoffeeScript; Common Lisp; Haskell; Java; JavaScript; Lua; Matlab; Perl; Python; Scala; Smalltalk; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,Indian rupees (?),Java; PHP,JavaScript; Python; Ruby; Swift,4404.639554
,20 or more years,Euros (€),JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL,70967.74194
,2 to 3 years,Euros (€),Java,C#; Scala,967.7419355
,3 to 4 years,Euros (€),Assembly; C++; C#; F#; Java; JavaScript; PHP; SQL,C#; Java; JavaScript; SQL,26881.72043
,20 or more years,NA,C++; C#; JavaScript; SQL,NA,NA
,13 to 14 years,British pounds sterling (£),C#; JavaScript; PHP; Ruby; SQL; VB.NET,C#; JavaScript; PHP; Ruby; SQL,41250
,20 or more years,British pounds sterling (£),C#; SQL,C#; Java,52500
,Less than a year,U.S. dollars ($),NA,NA,NA
,20 or more years,NA,C#; Java; JavaScript; PHP; SQL; VBA,Java; PHP; Python; SQL; VBA,NA
,10 to 11 years,NA,NA,NA,NA
,7 to 8 years,NA,Go; JavaScript; PHP,Go; JavaScript; PHP; Swift,NA
,3 to 4 years,Indian rupees (?),JavaScript; Python,JavaScript; Python,NA
,3 to 4 years,U.S. dollars ($),C; C++; Objective-C; PHP; Python; SQL,C++; Python; SQL,1.50E+04
,7 to 8 years,NA,C++; JavaScript; PHP,C++; JavaScript; PHP,NA
,4 to 5 years,NA,NA,NA,NA
,Less than a year,NA,C++; Elixir; Erlang; Java; JavaScript; PHP; SQL; TypeScript,Elixir; Java; JavaScript; PHP; SQL; Swift; TypeScript,NA
,19 to 20 years,U.S. dollars ($),Java; JavaScript; PHP; Ruby; SQL,Java; JavaScript; PHP; Ruby; SQL; TypeScript,1.25E+05
,4 to 5 years,Euros (€),Java; JavaScript; TypeScript,C++; Java; TypeScript,28387.09677
,5 to 6 years,British pounds sterling (£),C#; JavaScript; PHP; SQL,NA,NA
,12 to 13 years,Euros (€),C++,C#; Java; JavaScript; PHP,NA
,1 to 2 years,British pounds sterling (£),C#,C#; PHP; SQL,3.00E+04
,11 to 12 years,NA,C#; Java; JavaScript; SQL,NA,NA
,1 to 2 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),C; C++; C#; Java; PHP; Python; SQL,C; C++; PHP; Python; SQL,41290.32258
,3 to 4 years,U.S. dollars ($),NA,NA,NA
,20 or more years,Euros (€),C#; JavaScript; PHP; SQL; TypeScript,JavaScript; PHP; Python; SQL,21505.37634
,11 to 12 years,NA,NA,NA,NA
,12 to 13 years,British pounds sterling (£),CoffeeScript; JavaScript; Ruby,Elixir; Erlang; Go; JavaScript; Ruby; Swift,5.00E+04
,20 or more years,NA,JavaScript; PHP; Python; SQL,JavaScript; PHP; Python; SQL; TypeScript,NA
,14 to 15 years,NA,C#; Java; SQL,C#; Java; Python; Ruby; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,2 to 3 years,NA,JavaScript; PHP,NA,NA
,3 to 4 years,British pounds sterling (£),PHP; SQL; Swift; VB.NET,NA,NA
,3 to 4 years,NA,NA,NA,NA
,Less than a year,NA,C; C++; Java; PHP; SQL; VB.NET; VBA,Assembly; C#; CoffeeScript; Common Lisp; Clojure,NA
,16 to 17 years,Euros (€),CoffeeScript; JavaScript; Ruby,CoffeeScript; JavaScript; Ruby; TypeScript,29032.25806
,2 to 3 years,U.S. dollars ($),Assembly; C; C++; Java; Matlab; Python; Swift,C; C++; Java; Matlab; Python,NA
,20 or more years,NA,Java; JavaScript,NA,NA
,17 to 18 years,NA,C#; JavaScript; Objective-C; PHP; SQL; Swift; VB.NET; Visual Basic 6,C#; JavaScript; PHP; SQL; Swift,NA
,19 to 20 years,U.S. dollars ($),C++; Java; Python,C++; Python,NA
,9 to 10 years,Euros (€),Assembly; C; Haskell; Java; JavaScript; PHP; Python,C; Haskell; Java; JavaScript,NA
,15 to 16 years,U.S. dollars ($),C#; Java; JavaScript; Python; Scala; SQL,C#; JavaScript; Python,NA
,3 to 4 years,U.S. dollars ($),Assembly; C; C++; C#; Java; JavaScript; Perl; Python,Assembly; C; Java; Python,NA
,20 or more years,NA,JavaScript; SQL,JavaScript; SQL,NA
,14 to 15 years,British pounds sterling (£),NA,NA,68750
,14 to 15 years,NA,NA,NA,NA
,5 to 6 years,NA,Elixir; JavaScript; Julia; Lua; Matlab; Python; Ruby; SQL,Elixir; Go; JavaScript; Julia; Lua; Python; Ruby; Rust; SQL; Swift,NA
,1 to 2 years,NA,Java,Java,NA
,5 to 6 years,NA,C#; Java,C#; Java; Perl; Python,NA
,20 or more years,U.S. dollars ($),Assembly; C++; Common Lisp; Java; JavaScript; Objective-C; Perl; PHP; Ruby; Scala; Smalltalk,NA,6.00E+04
,Less than a year,NA,NA,NA,NA
,2 to 3 years,NA,C; C++; C#; Java; PHP; Python; SQL,Java; JavaScript; Matlab; PHP; Python; SQL,NA
,20 or more years,NA,Haskell; Objective-C; Python; SQL; Swift,NA,NA
,20 or more years,NA,NA,JavaScript,NA
,20 or more years,U.S. dollars ($),JavaScript; Ruby,C#; JavaScript; Ruby,1.00E+05
,17 to 18 years,U.S. dollars ($),JavaScript,Java; JavaScript; SQL; Swift; TypeScript,9.70E+04
,5 to 6 years,NA,JavaScript; PHP; SQL,NA,NA
,10 to 11 years,NA,Elixir; JavaScript; Python,C#; Elixir; F#; JavaScript,NA
,5 to 6 years,NA,C++; JavaScript; PHP; SQL,C++; Go; Java; JavaScript; PHP; SQL,NA
,2 to 3 years,NA,C++,Java,NA
,6 to 7 years,NA,JavaScript; PHP,NA,NA
,9 to 10 years,NA,C; Lua; PHP; Python; SQL,Erlang; Go; JavaScript; Objective-C,NA
,3 to 4 years,NA,C++,Rust,NA
,3 to 4 years,NA,NA,NA,NA
,18 to 19 years,Australian dollars (A$),Common Lisp; Java; JavaScript; Scala,Common Lisp; Java; JavaScript; Scala,128787.8788
,3 to 4 years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; R; SQL,6.00E+04
,9 to 10 years,NA,NA,NA,NA
,Less than a year,NA,JavaScript,C; C#; Python,NA
,14 to 15 years,U.S. dollars ($),C#; Groovy; Java; JavaScript; SQL; TypeScript,C#; F#; TypeScript,8.20E+04
,20 or more years,NA,C; C++; CoffeeScript; JavaScript; Ruby; SQL,C; C++; CoffeeScript; JavaScript; Objective-C; Ruby; Rust; SQL; Swift; TypeScript,NA
,16 to 17 years,U.S. dollars ($),JavaScript; PHP; Python; SQL,Elixir; Go; Swift,9.60E+04
,5 to 6 years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; R; SQL,6.30E+04
,Less than a year,NA,NA,NA,NA
,16 to 17 years,U.S. dollars ($),CoffeeScript; Go; JavaScript; Objective-C; Python; SQL; Swift,Go; JavaScript; Python; SQL; Swift,1.85E+05
,20 or more years,U.S. dollars ($),C++; C#; JavaScript; Objective-C; PHP; SQL; Swift,Assembly; CoffeeScript,1.35E+05
,12 to 13 years,NA,C; JavaScript; Python; SQL,C; C++; Go; Python,NA
,15 to 16 years,NA,Go; JavaScript; PHP; SQL; TypeScript,Dart,NA
,5 to 6 years,Singapore dollars (S$),C++; Java; JavaScript; SQL,C++; Java; JavaScript; Python; SQL; Swift,26083.91608
,20 or more years,NA,NA,Elixir; Ruby,NA
,8 to 9 years,U.S. dollars ($),C#; JavaScript; SQL; TypeScript,Assembly; F#; Go; Python; Swift,9.50E+04
,1 to 2 years,U.S. dollars ($),JavaScript; PHP; Python; Ruby; SQL,Go; JavaScript; Objective-C; Python; Ruby; SQL; Swift; TypeScript,6.00E+04
